,テキスト,部,章,章（ラベル）,テキスト_形態素
997,　その頃から見ると私も大分大人になっていました。けれどもまだ自分で余所行の着物を拵えるというほどの分別は出なかったのです。私は卒業して髯を生やす時代が来なければ、服装の心配などはするに及ばないものだという変な考えをもっていたのです。それで奥さんに書物は要るが着物は要らないといいました。奥さんは私の買う書物の分量を知っていました。買った本をみんな読むのかと聞くのです。私の買うものの中には字引きもありますが、当然眼を通すべきはずでありながら、頁さえ切ってないのも多少あったのですから、私は返事に窮しました。私はどうせ要らないものを買うなら、書物でも衣服でも同じだという事に気が付きました。その上私は色々世話になるという口実の下に、お嬢さんの気に入るような帯か反物を買ってやりたかったのです。それで万事を奥さんに依頼しました。,[3]下＿先生と遺書,3_17,下・十七,"['その', '頃', 'から', '見る', 'と', '私', 'も', '大分', '大人', 'に', 'なる', 'て', 'いる', 'ます', 'た', 'けれども', 'まだ', '自分', 'で', '余所', '行', 'の', '着物', 'を', '拵える', 'と', 'いう', 'ほど', 'の', '分別', 'は', '出る', 'ない', 'た', 'の', 'です', '私', 'は', '卒業', 'する', 'て', '髯', 'を', '生やす', '時代', 'が', '来る', 'ない', 'ば', '服装', 'の', '心配', 'など', 'は', 'する', 'に', '及ぶ', 'ない', 'もの', 'だ', 'という', '変', 'だ', '考え', 'を', 'もつ', 'て', 'いる', 'た', 'の', 'です', 'それで', '奥さん', 'に', '書物', 'は', '要る', 'が', '着物', 'は', '要る', 'ない', 'と', 'いう', 'ます', 'た', '奥さん', 'は', '私', 'の', '買う', '書物', 'の', '分量', 'を', '知る', 'て', 'いる', 'ます', 'た', '買う', 'た', '本', 'を', 'みんな', '読む', 'の', 'か', 'と', '聞く', 'の', 'です', '私', 'の', '買う', 'もの', 'の', '中', 'に', 'は', '字', '引き', 'も', 'ある', 'ます', 'が', '当然', '眼', 'を', '通す', 'べし', 'はず', 'だ', 'ある', 'ながら', '頁', 'さえ', '切る', 'てる', 'ない', 'の', 'も', '多少', 'ある', 'た', 'の', 'です', 'から', '私', 'は', '返事', 'に', '窮', 'する', 'ます', 'た', '私', 'は', 'どうせ', '要る', 'ない', 'もの', 'を', '買う', 'だ', '書物', 'で', 'も', '衣服', 'で', 'も', '同じ', 'だ', 'という', '事', 'に', '気が付く', 'ます', 'た', 'その', '上', '私', 'は', '色々', '世話', 'に', 'なる', 'という', '口実', 'の', '下', 'に', 'お嬢さん', 'の', '気に入る', 'よう', 'だ', '帯', 'か', '反物', 'を', '買う', 'て', 'やる', 'たい', 'た', 'の', 'です', 'それで', '万事', 'を', '奥さん', 'に', '依頼', 'する', 'ます', 'た']"
998,　奥さんは自分一人で行くとはいいません。私にもいっしょに来いと命令するのです。お嬢さんも行かなくてはいけないというのです。今と違った空気の中に育てられた私どもは、学生の身分として、あまり若い女などといっしょに歩き廻る習慣をもっていなかったものです。その頃の私は今よりもまだ習慣の奴隷でしたから、多少躊躇しましたが、思い切って出掛けました。,[3]下＿先生と遺書,3_17,下・十七,"['奥さん', 'は', '自分', '一', '人', 'で', '行く', 'と', 'は', 'いう', 'ます', 'ん', '私', 'に', 'も', 'いっしょ', 'に', '来る', 'と', '命令', 'する', 'の', 'です', 'お嬢さん', 'も', '行く', 'ない', 'て', 'は', 'いける', 'ない', 'という', 'の', 'です', '今', 'と', '違う', 'た', '空気', 'の', '中', 'に', '育てる', 'られる', 'た', '私', 'ども', 'は', '学生', 'の', '身分', 'として', 'あまり', '若い', '女', 'など', 'と', 'いっしょ', 'に', '歩く', '廻る', '習慣', 'を', 'もつ', 'て', 'いる', 'ない', 'た', 'もの', 'です', 'その', '頃', 'の', '私', 'は', '今', 'より', 'も', 'まだ', '習慣', 'の', '奴隷', 'です', 'た', 'から', '多少', '躊躇', 'する', 'ます', 'た', 'が', '思い切る', 'て', '出掛ける', 'ます', 'た']"
999,　お嬢さんは大層着飾っていました。地体が色の白いくせに、白粉を豊富に塗ったものだからなお目立ちます。往来の人がじろじろ見てゆくのです。そうしてお嬢さんを見たものはきっとその視線をひるがえして、私の顔を見るのだから、変なものでした。,[3]下＿先生と遺書,3_17,下・十七,"['お嬢さん', 'は', '大層', '着飾る', 'て', 'いる', 'ます', 'た', '地', '体', 'が', '色', 'の', '白い', 'くせ', 'に', '白粉', 'を', '豊富', 'に', '塗る', 'た', 'もの', 'だ', 'から', 'なお', '目立つ', 'ます', '往来', 'の', '人', 'が', 'じろじろ', '見る', 'て', 'ゆく', 'の', 'です', 'そうして', 'お嬢さん', 'を', '見る', 'た', 'もの', 'は', 'きっと', 'その', '視線', 'を', 'ひるがえす', 'て', '私', 'の', '顔', 'を', '見る', 'の', 'だ', 'から', '変', 'だ', 'もの', 'です', 'た']"
1000,　三人は日本橋へ行って買いたいものを買いました。買う間にも色々気が変るので、思ったより暇がかかりました。奥さんはわざわざ私の名を呼んでどうだろうと相談をするのです。時々反物をお嬢さんの肩から胸へ竪に宛てておいて、私に二、三歩遠退いて見てくれろというのです。私はそのたびごとに、それは駄目だとか、それはよく似合うとか、とにかく一人前の口を聞きました。,[3]下＿先生と遺書,3_17,下・十七,"['三', '人', 'は', '日本橋', 'へ', '行く', 'て', '買う', 'たい', 'もの', 'を', '買う', 'ます', 'た', '買う', '間', 'に', 'も', '色々', '気', 'が', '変る', 'ので', '思う', 'た', 'より', '暇', 'が', 'かかる', 'ます', 'た', '奥さん', 'は', 'わざわざ', '私', 'の', '名', 'を', '呼ぶ', 'で', 'どう', 'だ', 'う', 'と', '相談', 'を', 'する', 'の', 'です', '時々', '反物', 'を', 'お嬢さん', 'の', '肩', 'から', '胸', 'へ', '竪', 'に', '宛てる', 'て', 'おく', 'て', '私', 'に', '二', '三', '歩', '遠い', '退く', 'て', '見る', 'て', 'くれる', 'と', 'いう', 'の', 'です', '私', 'は', 'その', 'たび', 'ごと', 'に', 'それ', 'は', '駄目', 'だ', 'とか', 'それ', 'は', 'よく', '似合う', 'とか', 'とにかく', '一', '人前', 'の', '口', 'を', '聞く', 'ます', 'た']"
1001,　こんな事で時間が掛って帰りは夕飯の時刻になりました。奥さんは私に対するお礼に何かご馳走するといって、木原店という寄席のある狭い横丁へ私を連れ込みました。横丁も狭いが、飯を食わせる家も狭いものでした。この辺の地理を一向心得ない私は、奥さんの知識に驚いたくらいです。,[3]下＿先生と遺書,3_17,下・十七,"['こんな', '事', 'で', '時間', 'が', '掛る', 'て', '帰り', 'は', '夕飯', 'の', '時刻', 'に', 'なる', 'ます', 'た', '奥さん', 'は', '私', 'に対する', 'お礼', 'に', '何', 'か', 'ご馳走', 'する', 'と', 'いう', 'て', '木原', '店', 'という', '寄席', 'の', 'ある', '狭い', '横丁', 'へ', '私', 'を', '連れ込む', 'ます', 'た', '横丁', 'も', '狭い', 'が', '飯', 'を', '食う', 'せる', '家', 'も', '狭い', 'もの', 'です', 'た', 'この', '辺', 'の', '地理', 'を', '一向', '心得る', 'ない', '私', 'は', '奥さん', 'の', '知識', 'に', '驚く', 'た', 'くらい', 'です']"
1002,　我々は夜に入って家へ帰りました。その翌日は日曜でしたから、私は終日室の中に閉じ籠っていました。月曜になって、学校へ出ると、私は朝っぱらそうそう級友の一人から調戯われました。いつ妻を迎えたのかといってわざとらしく聞かれるのです。それから私の細君は非常に美人だといって賞めるのです。私は三人連で日本橋へ出掛けたところを、その男にどこかで見られたものとみえます。,[3]下＿先生と遺書,3_17,下・十七,"['我々', 'は', '夜', 'に', '入る', 'て', '家', 'へ', '帰る', 'ます', 'た', 'その', '翌日', 'は', '日曜', 'です', 'た', 'から', '私', 'は', '終日', '室', 'の', '中', 'に', '閉じる', '籠る', 'て', 'いる', 'ます', 'た', '月曜', 'に', 'なる', 'て', '学校', 'へ', '出る', 'と', '私', 'は', '朝っぱら', 'そう', 'そう', '級友', 'の', '一', '人', 'から', '調', '戯', 'われる', 'ます', 'た', 'いる', 'つ', '妻', 'を', '迎える', 'た', 'の', 'か', 'と', 'いう', 'て', 'わざとらしい', '聞く', 'れる', 'の', 'です', 'それから', '私', 'の', '細君', 'は', '非常', 'に', '美人', 'だ', 'と', 'いう', 'て', '賞', 'め', 'り', 'の', 'です', '私', 'は', '三', '人', '連', 'で', '日本橋', 'へ', '出掛ける', 'た', 'ところ', 'を', 'その', '男', 'に', 'どこ', 'か', 'で', '見る', 'られる', 'た', 'もの', 'と', 'みえる', 'ます']"
1003,「私は宅へ帰って奥さんとお嬢さんにその話をしました。奥さんは笑いました。しかし定めて迷惑だろうといって私の顔を見ました。私はその時腹のなかで、男はこんな風にして、女から気を引いて見られるのかと思いました。奥さんの眼は充分私にそう思わせるだけの意味をもっていたのです。私はその時自分の考えている通りを直截に打ち明けてしまえば好かったかも知れません。しかし私にはもう狐疑という薩張りしない塊りがこびり付いていました。私は打ち明けようとして、ひょいと留まりました。そうして話の角度を故意に少し外らしました。,[3]下＿先生と遺書,3_18,下・十八,"['私', 'は', '宅', 'へ', '帰る', 'て', '奥さん', 'と', 'お嬢さん', 'に', 'その', '話', 'を', 'する', 'ます', 'た', '奥さん', 'は', '笑う', 'ます', 'た', 'しかし', '定める', 'て', '迷惑', 'だ', 'う', 'と', 'いう', 'て', '私', 'の', '顔', 'を', '見る', 'ます', 'た', '私', 'は', 'その', '時', '腹', 'の', 'なか', 'で', '男', 'は', 'こんな', '風', 'に', 'する', 'て', '女', 'から', '気', 'を', '引く', 'て', '見る', 'られる', 'の', 'か', 'と', '思う', 'ます', 'た', '奥さん', 'の', '眼', 'は', '充分', '私', 'に', 'そう', '思う', 'せる', 'だけ', 'の', '意味', 'を', 'もつ', 'て', 'いる', 'た', 'の', 'です', '私', 'は', 'その', '時', '自分', 'の', '考える', 'て', 'いる', '通り', 'を', '直截', 'に', '打ち明ける', 'て', 'しまう', 'ば', '好い', 'た', 'かも', '知れる', 'ます', 'ん', 'しかし', '私', 'に', 'は', 'もう', '狐疑', 'という', '薩張', 'り', 'する', 'ない', '塊', 'り', 'が', 'こびり付く', 'て', 'いる', 'ます', 'た', '私', 'は', '打ち明ける', 'う', 'として', 'ひょいと', '留まる', 'ます', 'た', 'そうして', '話', 'の', '角度', 'を', '故意', 'に', '少し', '外らす', 'ます', 'た']"
1004,　私は肝心の自分というものを問題の中から引き抜いてしまいました。そうしてお嬢さんの結婚について、奥さんの意中を探ったのです。奥さんは二、三そういう話のないでもないような事を、明らかに私に告げました。しかしまだ学校へ出ているくらいで年が若いから、こちらではさほど急がないのだと説明しました。奥さんは口へは出さないけれども、お嬢さんの容色に大分重きを置いているらしく見えました。極めようと思えばいつでも極められるんだからというような事さえ口外しました。それからお嬢さんより外に子供がないのも、容易に手離したがらない源因になっていました。嫁にやるか、聟を取るか、それにさえ迷っているのではなかろうかと思われるところもありました。,[3]下＿先生と遺書,3_18,下・十八,"['私', 'は', '肝心', 'の', '自分', 'という', 'もの', 'を', '問題', 'の', '中', 'から', '引き抜く', 'て', 'しまう', 'ます', 'た', 'そうして', 'お嬢さん', 'の', '結婚', 'について', '奥さん', 'の', '意中', 'を', '探る', 'た', 'の', 'です', '奥さん', 'は', '二', '三', 'そういう', '話', 'の', 'ない', 'でも', 'ない', 'よう', 'だ', '事', 'を', '明らか', 'に', '私', 'に', '告げる', 'ます', 'た', 'しかし', 'まだ', '学校', 'へ', '出る', 'て', 'いる', 'くらい', 'だ', '年', 'が', '若い', 'から', 'こちら', 'で', 'はさ', 'ほど', '急ぐ', 'ない', 'の', 'だ', 'と', '説明', 'する', 'ます', 'た', '奥さん', 'は', '口', 'へ', 'は', '出す', 'ない', 'けれども', 'お嬢さん', 'の', '容色', 'に', '大分', '重き', 'を', '置く', 'て', 'いる', 'らしい', '見える', 'ます', 'た', '極める', 'う', 'と', '思う', 'ば', 'いつ', 'でも', '極める', 'られる', 'ん', 'だ', 'から', 'という', 'よう', 'だ', '事', 'さえ', '口外', 'する', 'ます', 'た', 'それから', 'お嬢さん', 'より', '外', 'に', '子供', 'が', 'ない', 'の', 'も', '容易', 'に', '手', '離す', 'たい', 'がる', 'ない', '源', '因', 'に', 'なる', 'て', 'いる', 'ます', 'た', '嫁', 'に', 'やる', 'か', '聟', 'を', '取る', 'か', 'それ', 'に', 'さえ', '迷う', 'て', 'いる', 'の', 'だ', 'は', 'ない', 'う', 'か', 'と', '思う', 'れる', 'ところ', 'も', 'ある', 'ます', 'た']"
1005,　話しているうちに、私は色々の知識を奥さんから得たような気がしました。しかしそれがために、私は機会を逸したと同様の結果に陥ってしまいました。私は自分について、ついに一言も口を開く事ができませんでした。私は好い加減なところで話を切り上げて、自分の室へ帰ろうとしました。,[3]下＿先生と遺書,3_18,下・十八,"['話す', 'て', 'いる', 'うち', 'に', '私', 'は', '色々', 'の', '知識', 'を', '奥さん', 'から', '得る', 'た', 'よう', 'だ', '気', 'が', 'する', 'ます', 'た', 'しかし', 'それ', 'が', 'ため', 'に', '私', 'は', '機会', 'を', '逸す', 'た', 'と', '同様', 'の', '結果', 'に', '陥る', 'て', 'しまう', 'ます', 'た', '私', 'は', '自分', 'について', 'ついに', '一言', 'も', '口', 'を', '開く', '事', 'が', 'できる', 'ます', 'ん', 'です', 'た', '私', 'は', '好い加減', 'だ', 'ところ', 'で', '話', 'を', '切り上げる', 'て', '自分', 'の', '室', 'へ', '帰る', 'う', 'と', 'する', 'ます', 'た']"
1006,　さっきまで傍にいて、あんまりだわとか何とかいって笑ったお嬢さんは、いつの間にか向うの隅に行って、背中をこっちへ向けていました。私は立とうとして振り返った時、その後姿を見たのです。後姿だけで人間の心が読めるはずはありません。お嬢さんがこの問題についてどう考えているか、私には見当が付きませんでした。お嬢さんは戸棚を前にして坐っていました。その戸棚の一尺ばかり開いている隙間から、お嬢さんは何か引き出して膝の上へ置いて眺めているらしかったのです。私の眼はその隙間の端に、一昨日買った反物を見付け出しました。私の着物もお嬢さんのも同じ戸棚の隅に重ねてあったのです。,[3]下＿先生と遺書,3_18,下・十八,"['さっき', 'まで', '傍', 'に', 'いる', 'て', 'あんまり', 'だ', 'わ', 'とか', '何とか', 'いく', 'て', '笑う', 'た', 'お嬢さん', 'は', 'いつの間にか', '向う', 'の', '隅', 'に', '行く', 'て', '背中', 'を', 'こっち', 'へ', '向ける', 'て', 'いる', 'ます', 'た', '私', 'は', '立つ', 'う', 'として', '振り返る', 'た', '時', 'その', '後姿', 'を', '見る', 'た', 'の', 'です', '後姿', 'だけ', 'で', '人間', 'の', '心', 'が', '読める', 'はず', 'は', 'ある', 'ます', 'ん', 'お嬢さん', 'が', 'この', '問題', 'について', 'どう', '考える', 'て', 'いる', 'か', '私', 'に', 'は', '見当', 'が', '付く', 'ます', 'ん', 'です', 'た', 'お嬢さん', 'は', '戸棚', 'を', '前', 'に', 'する', 'て', '坐る', 'て', 'いる', 'ます', 'た', 'その', '戸棚', 'の', '一', '尺', 'ばかり', '開く', 'て', 'いる', '隙間', 'から', 'お嬢さん', 'は', '何', 'か', '引き出す', 'て', '膝', 'の', '上', 'へ', '置く', 'て', '眺める', 'て', 'いる', 'らしい', 'た', 'の', 'です', '私', 'の', '眼', 'は', 'その', '隙間', 'の', '端', 'に', '一昨日', '買う', 'た', '反物', 'を', '見付ける', '出す', 'ます', 'た', '私', 'の', '着物', 'も', 'お嬢さん', 'の', 'も', '同じ', '戸棚', 'の', '隅', 'に', '重ねる', 'て', 'ある', 'た', 'の', 'です']"
1007,　私が何ともいわずに席を立ち掛けると、奥さんは急に改まった調子になって、私にどう思うかと聞くのです。その聞き方は何をどう思うのかと反問しなければ解らないほど不意でした。それがお嬢さんを早く片付けた方が得策だろうかという意味だと判然した時、私はなるべく緩くらな方がいいだろうと答えました。奥さんは自分もそう思うといいました。,[3]下＿先生と遺書,3_18,下・十八,"['私', 'が', '何', 'と', 'も', 'いう', 'ぬ', 'に', '席', 'を', '立つ', '掛ける', 'と', '奥さん', 'は', '急', 'に', '改まる', 'た', '調子', 'に', 'なる', 'て', '私', 'に', 'どう', '思う', 'か', 'と', '聞く', 'の', 'です', 'その', '聞く', '方', 'は', '何', 'を', 'どう', '思う', 'の', 'か', 'と', '反問', 'する', 'ない', 'ば', '解る', 'ない', 'ほど', '不意', 'です', 'た', 'それ', 'が', 'お嬢さん', 'を', '早い', '片付ける', 'た', '方', 'が', '得策', 'だ', 'う', 'か', 'という', '意味', 'だ', 'と', '判然', 'する', 'た', '時', '私', 'は', 'なるべく', '緩い', 'ら', 'だ', '方', 'が', 'いい', 'だ', 'う', 'と', '答える', 'ます', 'た', '奥さん', 'は', '自分', 'も', 'そう', '思う', 'と', 'いう', 'ます', 'た']"
1008,　奥さんとお嬢さんと私の関係がこうなっている所へ、もう一人男が入り込まなければならない事になりました。その男がこの家庭の一員となった結果は、私の運命に非常な変化を来しています。もしその男が私の生活の行路を横切らなかったならば、おそらくこういう長いものをあなたに書き残す必要も起らなかったでしょう。私は手もなく、魔の通る前に立って、その瞬間の影に一生を薄暗くされて気が付かずにいたのと同じ事です。自白すると、私は自分でその男を宅へ引張って来たのです。無論奥さんの許諾も必要ですから、私は最初何もかも隠さず打ち明けて、奥さんに頼んだのです。ところが奥さんは止せといいました。私には連れて来なければ済まない事情が充分あるのに、止せという奥さんの方には、筋の立った理屈はまるでなかったのです。だから私は私の善いと思うところを強いて断行してしまいました。,[3]下＿先生と遺書,3_18,下・十八,"['奥さん', 'と', 'お嬢さん', 'と', '私', 'の', '関係', 'が', 'こう', 'なる', 'て', 'いる', '所', 'へ', 'もう', '一', '人', '男', 'が', '入り込む', 'ない', 'ば', 'なる', 'ない', '事', 'に', 'なる', 'ます', 'た', 'その', '男', 'が', 'この', '家庭', 'の', '一員', 'と', 'なる', 'た', '結果', 'は', '私', 'の', '運命', 'に', '非常', 'だ', '変化', 'を', '来す', 'て', 'いる', 'ます', 'もし', 'その', '男', 'が', '私', 'の', '生活', 'の', '行路', 'を', '横切る', 'ない', 'た', 'だ', 'ば', 'おそらく', 'こういう', '長い', 'もの', 'を', 'あなた', 'に', '書き残す', '必要', 'も', '起る', 'ない', 'た', 'です', 'う', '私', 'は', '手', 'も', 'ない', '魔', 'の', '通る', '前', 'に', '立つ', 'て', 'その', '瞬間', 'の', '影', 'に', '一生', 'を', '薄暗い', 'する', 'れる', 'て', '気が付く', 'ぬ', 'に', 'いる', 'た', 'の', 'と', '同じ', '事', 'です', '自白', 'する', 'と', '私', 'は', '自分', 'で', 'その', '男', 'を', '宅', 'へ', '引張る', 'て', '来る', 'た', 'の', 'です', '無論', '奥さん', 'の', '許諾', 'も', '必要', 'です', 'から', '私', 'は', '最初', '何もかも', '隠す', 'ぬ', '打ち明ける', 'て', '奥さん', 'に', '頼む', 'だ', 'の', 'です', 'ところが', '奥さん', 'は', '止す', 'と', 'いう', 'ます', 'た', '私', 'に', 'は', '連れる', 'て', '来る', 'ない', 'ば', '済まない', '事情', 'が', '充分', 'ある', 'のに', '止す', 'という', '奥さん', 'の', '方', 'に', 'は', '筋', 'の', '立つ', 'た', '理屈', 'は', 'まるで', 'ない', 'た', 'の', 'です', 'だから', '私', 'は', '私', 'の', '善い', 'と', '思う', 'ところ', 'を', '強いて', '断行', 'する', 'て', 'しまう', 'ます', 'た']"
1009,「私はその友達の名をここにKと呼んでおきます。私はこのKと小供の時からの仲好でした。小供の時からといえば断らないでも解っているでしょう、二人には同郷の縁故があったのです。Kは真宗の坊さんの子でした。もっとも長男ではありません、次男でした。それである医者の所へ養子にやられたのです。私の生れた地方は大変本願寺派の勢力の強い所でしたから、真宗の坊さんは他のものに比べると、物質的に割が好かったようです。一例を挙げると、もし坊さんに女の子があって、その女の子が年頃になったとすると、檀家のものが相談して、どこか適当な所へ嫁にやってくれます。無論費用は坊さんの懐から出るのではありません。そんな訳で真宗寺は大抵有福でした。,[3]下＿先生と遺書,3_19,下・十九,"['私', 'は', 'その', '友達', 'の', '名', 'を', 'ここ', 'に', 'K', 'と', '呼ぶ', 'で', 'おく', 'ます', '私', 'は', 'この', 'K', 'と', '小', '供', 'の', '時', 'から', 'の', '仲', '好', 'です', 'た', '小', '供', 'の', '時', 'から', 'と', 'いう', 'ば', '断る', 'ない', 'でも', '解る', 'て', 'いる', 'です', 'う', '二', '人', 'に', 'は', '同郷', 'の', '縁故', 'が', 'ある', 'た', 'の', 'です', 'K', 'は', '真宗', 'の', '坊さん', 'の', '子', 'です', 'た', 'もっとも', '長男', 'で', 'は', 'ある', 'ます', 'ん', '次男', 'です', 'た', 'それ', 'だ', 'ある', '医者', 'の', '所', 'へ', '養子', 'に', 'やる', 'れる', 'た', 'の', 'です', '私', 'の', '生れる', 'た', '地方', 'は', '大変', '本願寺', '派', 'の', '勢力', 'の', '強い', '所', 'です', 'た', 'から', '真宗', 'の', '坊さん', 'は', '他', 'の', 'もの', 'に', '比べる', 'と', '物質', '的', 'に', '割', 'が', '好い', 'た', 'よう', 'です', '一', '例', 'を', '挙げる', 'と', 'もし', '坊さん', 'に', '女の子', 'が', 'ある', 'て', 'その', '女の子', 'が', '年頃', 'に', 'なる', 'た', 'と', 'する', 'と', '檀家', 'の', 'もの', 'が', '相談', 'する', 'て', 'どこ', 'か', '適当', 'だ', '所', 'へ', '嫁', 'に', 'やる', 'て', 'くれる', 'ます', '無論', '費用', 'は', '坊さん', 'の', '懐', 'から', '出る', 'の', 'だ', 'は', 'ある', 'ます', 'ん', 'そんな', '訳', 'で', '真宗寺', 'は', '大', '抵有福', 'です', 'た']"
1010,　Kの生れた家も相応に暮らしていたのです。しかし次男を東京へ修業に出すほどの余力があったかどうか知りません。また修業に出られる便宜があるので、養子の相談が纏まったものかどうか、そこも私には分りません。とにかくKは医者の家へ養子に行ったのです。それは私たちがまだ中学にいる時の事でした。私は教場で先生が名簿を呼ぶ時に、Kの姓が急に変っていたので驚いたのを今でも記憶しています。,[3]下＿先生と遺書,3_19,下・十九,"['K', 'の', '生れる', 'た', '家', 'も', '相応', 'に', '暮らす', 'て', 'いる', 'た', 'の', 'です', 'しかし', '次男', 'を', '東京', 'へ', '修業', 'に', '出す', 'ほど', 'の', '余力', 'が', 'ある', 'た', 'か', 'どうか', '知る', 'ます', 'ん', 'また', '修業', 'に', '出る', 'られる', '便宜', 'が', 'ある', 'ので', '養子', 'の', '相談', 'が', '纏まる', 'た', 'もの', 'か', 'どう', 'か', 'そこ', 'も', '私', 'に', 'は', '分る', 'ます', 'ん', 'とにかく', 'K', 'は', '医者', 'の', '家', 'へ', '養子', 'に', '行く', 'た', 'の', 'です', 'それ', 'は', '私', 'たち', 'が', 'まだ', '中学', 'に', 'いる', '時', 'の', '事', 'です', 'た', '私', 'は', '教場', 'で', '先生', 'が', '名簿', 'を', '呼ぶ', '時', 'に', 'K', 'の', '姓', 'が', '急', 'に', '変る', 'て', 'いる', 'た', 'ので', '驚く', 'た', 'の', 'を', '今', 'でも', '記憶', 'する', 'て', 'いる', 'ます']"
1011,　Kの養子先もかなりな財産家でした。Kはそこから学資を貰って東京へ出て来たのです。出て来たのは私といっしょでなかったけれども、東京へ着いてからは、すぐ同じ下宿に入りました。その時分は一つ室によく二人も三人も机を並べて寝起きしたものです。Kと私も二人で同じ間にいました。山で生捕られた動物が、檻の中で抱き合いながら、外を睨めるようなものでしたろう。二人は東京と東京の人を畏れました。それでいて六畳の間の中では、天下を睥睨するような事をいっていたのです。,[3]下＿先生と遺書,3_19,下・十九,"['K', 'の', '養子', '先', 'も', 'かなり', 'だ', '財産', '家', 'です', 'た', 'K', 'は', 'そこ', 'から', '学資', 'を', '貰う', 'て', '東京', 'へ', '出る', 'て', '来る', 'た', 'の', 'です', '出る', 'て', '来る', 'た', 'の', 'は', '私', 'と', 'いっしょ', 'だ', 'ない', 'た', 'けれども', '東京', 'へ', '着く', 'て', 'から', 'は', 'すぐ', '同じ', '下宿', 'に', '入る', 'ます', 'た', 'その', '時分', 'は', '一つ', '室', 'に', 'よく', '二', '人', 'も', '三', '人', 'も', '机', 'を', '並べる', 'て', '寝起き', 'する', 'た', 'もの', 'です', 'K', 'と', '私', 'も', '二', '人', 'で', '同じ', '間', 'に', 'いる', 'ます', 'た', '山', 'で', '生', '捕る', 'れる', 'た', '動物', 'が', '檻', 'の', '中', 'で', '抱き合う', 'ながら', '外', 'を', '睨める', 'よう', 'だ', 'もの', 'です', 'た', 'う', '二', '人', 'は', '東京', 'と', '東京', 'の', '人', 'を', '畏れる', 'ます', 'た', 'それでいて', '六', '畳', 'の', '間', 'の', '中', 'で', 'は', '天下', 'を', '睥睨', 'する', 'よう', 'だ', '事', 'を', 'いう', 'て', 'いる', 'た', 'の', 'です']"
1012,　しかし我々は真面目でした。我々は実際偉くなるつもりでいたのです。ことにKは強かったのです。寺に生れた彼は、常に精進という言葉を使いました。そうして彼の行為動作は悉くこの精進の一語で形容されるように、私には見えたのです。私は心のうちで常にKを畏敬していました。,[3]下＿先生と遺書,3_19,下・十九,"['しかし', '我々', 'は', '真面目', 'です', 'た', '我々', 'は', '実際', '偉い', 'なる', 'つもり', 'で', 'いる', 'た', 'の', 'です', 'ことに', 'K', 'は', '強い', 'た', 'の', 'です', '寺', 'に', '生れる', 'た', '彼', 'は', '常に', '精進', 'という', '言葉', 'を', '使う', 'ます', 'た', 'そう', 'する', 'て', '彼', 'の', '行為', '動作', 'は', '悉く', 'この', '精進', 'の', '一語', 'で', '形容', 'する', 'れる', 'よう', 'に', '私', 'に', 'は', '見える', 'た', 'の', 'です', '私', 'は', '心', 'の', 'うち', 'で', '常に', 'K', 'を', '畏敬', 'する', 'て', 'いる', 'ます', 'た']"
